"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: OpenELIS Global v2","Mapping: OpenMRS RefApp 2.9","Mapping: iSantePlus 2","Mapping: FHIR Release 4","Mapping: RIM Mapping"
"LaboratoryLogicalModel","LaboratoryLogicalModel","","","",0,*,"","","","","Base for all elements","LaboratoryLogicalModel","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OpenELIS Data Model","OpenMRS Data Model","iSantePlus Data Model","FHIR-R4 Mappings","n/a"
"LaboratoryLogicalModel.id","LaboratoryLogicalModel.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"LaboratoryLogicalModel.extension","LaboratoryLogicalModel.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"LaboratoryLogicalModel.Patient","LaboratoryLogicalModel.Patient","","","",0,1,"","","","BackboneElement {[]} {[]}
","Laboratory Patient Logical Model","Logical model of Laboratory Patient","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Patient",0,1,"","","Patient","Patient","Patient","LaboratoryPatient"
"LaboratoryLogicalModel.Patient.Id","LaboratoryLogicalModel.Patient.Id","","","",1,1,"","","","id {[]} {[]}
","Patient Logical ID","Patient Logical ID","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Patient.Id",1,1,"","","Patient.fhirUuid","Patient.uuid","Patient.uuid","LaboratoryPatient.id"
"LaboratoryLogicalModel.Patient.Identifier","LaboratoryLogicalModel.Patient.Identifier","","","",0,1,"","","","Identifier {[]} {[]}
","An identifier for this patient.","Patient Identifier","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Patient.Identifier",0,1,"","","Patient.nationalId","Patient.activeIdentifiers","Patient.activeIdentifiers","LaboratoryPatient.identifier"
"LaboratoryLogicalModel.Patient.Name","LaboratoryLogicalModel.Patient.Name","","","",0,*,"","","","HumanName {[]} {[]}
","Patient Name","Patient Name","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Patient.Name",0,*,"","","Patient.person.firstName","Patient.names","Patient.names","LaboratoryPatient.name"
"LaboratoryLogicalModel.Patient.Contact","LaboratoryLogicalModel.Patient.Contact","","","",0,*,"","","","ContactPoint {[]} {[]}
","Patient Contact","Patient Contact","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Patient.Contact",0,*,"","","Patient.person.primaryPhone","Person.personAttribute","Person.personAttribute","LaboratoryPatient.telecom"
"LaboratoryLogicalModel.Patient.Gender","LaboratoryLogicalModel.Patient.Gender","","","",1,1,"","","","code {[]} {[]}
","Patient Gender","Patient Gender","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Patient.Gender",1,1,"","","Patient.gender","Patient.gender","Patient.gender","LaboratoryPatient.gender"
"LaboratoryLogicalModel.Patient.BirthDate","LaboratoryLogicalModel.Patient.BirthDate","","","",0,1,"","","","date {[]} {[]}
","Patient Date of Birth","Patient Date of Birth","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Patient.BirthDate",0,1,"","","Patient.birthDateForDisplay","Patient.birthdate","Patient.birthdate","LaboratoryPatient.birthDate"
"LaboratoryLogicalModel.Patient.Address","LaboratoryLogicalModel.Patient.Address","","","",0,*,"","","","Address {[]} {[]}
","Patient Address","Patient Address","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Patient.Address",0,*,"","","PersonAddress","Patient.addresses","Patient.addresses","LaboratoryPatient.address"
"LaboratoryLogicalModel.Patient.DeceasedDateTime","LaboratoryLogicalModel.Patient.DeceasedDateTime","","","",0,1,"","","","date {[]} {[]}
","Patient Death Date","Patient Death Date","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Patient.DeceasedDateTime",0,1,"","","","Patient.deathDate or Patient.dead","Patient.deathDate or Patient.dead","LaboratoryPatient.deceased"
"LaboratoryLogicalModel.LabTask","LaboratoryLogicalModel.LabTask","","","",0,1,"","","","BackboneElement {[]} {[]}
","Laboratory Workflow Task","A task for tracking the full lifecycle of a Laboratory Lab Order Workflow between EMRs and LISs","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask",0,1,"","","Sample","FhirTask","FhirTask","LaboratoryTask"
"LaboratoryLogicalModel.LabTask.Id","LaboratoryLogicalModel.LabTask.Id","","","",1,1,"","","","id {[]} {[]}
","Laboratory Workflow Task Id","Laboratory Workflow Task Logical Id Id","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask.Id",1,1,"","","Sample.fhirUuid","FhirTask.id","FhirTask.id","LaboratoryTask.id"
"LaboratoryLogicalModel.LabTask.Status","LaboratoryLogicalModel.LabTask.Status","","","",0,1,"","","","code {[]} {[]}
","Laboratory Task Status","Laboratory LabTask Status","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask.Status",0,1,"","","Sample.status","FhirTask.status","FhirTask.status","LaboratoryTask.status"
"LaboratoryLogicalModel.LabTask.Intent","LaboratoryLogicalModel.LabTask.Intent","","","",0,1,"","","","code {[]} {[]}
","Laboratory Task Intent","Indicates the level of actionability associated with the Task","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask.Intent",0,1,"","","","FhirTask.intent","FhirTask.intent","LaboratoryTask.intent"
"LaboratoryLogicalModel.LabTask.LabOrder","LaboratoryLogicalModel.LabTask.LabOrder","","","",1,*,"","","","Reference {[]} {[]}
","Laboratory Task LabOrder","LabOrder fulfilled by this Task","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask.LabOrder",1,*,"","","Analysis","FhirTask.basedOn","FhirTask.basedOn","LaboratoryTask.basedOn"
"LaboratoryLogicalModel.LabTask.Encounter","LaboratoryLogicalModel.LabTask.Encounter","","","",0,1,"","","","Reference {[]} {[]}
","Laboratory Task Encounter","Encounter during which this task originated","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask.Encounter",0,1,"","","","FhirTask.encounter","FhirTask.encounter","LaboratoryTask.encounter"
"LaboratoryLogicalModel.LabTask.Patient","LaboratoryLogicalModel.LabTask.Patient","","","",1,1,"","","","Reference {[]} {[]}
","Laboratory Task Patient","The Patient for whom the lab order was created.","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask.Patient",1,1,"","","Patient","FhirTask.for","FhirTask.for","LaboratoryTask.for"
